"Date","Home","Away","Result","Score_Home","Score_Away","Odds_Home","Odds_Draw","Odds_Away","Division","Season","Coming5","IsPlayed"
2019-01-29,"Arsenal","Cardiff","H",2,1,1.22,7,15,"Premier League",2019,0,1
2019-01-27,"Fortuna Dusseldorf","RB Leipzig","A",0,4,3.6,3.8,1.95,"Bundesliga",2019,0,1
2019-01-27,"Bayern Munich","Stuttgart","H",4,1,1.08,13,21,"Bundesliga",2019,0,1
2019-01-26,"Werder Bremen","Ein Frankfurt","D",2,2,2.87,3.6,2.37,"Bundesliga",2019,0,1
2019-01-26,"Mainz","Nurnberg","H",2,1,1.72,3.5,5,"Bundesliga",2019,0,1
2019-01-26,"Wolfsburg","Leverkusen","A",0,3,2.87,3.6,2.35,"Bundesliga",2019,0,1
2019-01-26,"Dortmund","Hannover","H",5,1,1.18,7.5,15,"Bundesliga",2019,0,1
2019-01-26,"M'gladbach","Augsburg","H",2,0,1.72,3.8,4.75,"Bundesliga",2019,0,1
2019-01-26,"Freiburg","Hoffenheim","A",2,4,3.6,3.8,1.9,"Bundesliga",2019,0,1
2019-01-26,"Stoke","Preston","A",0,2,2.05,3.3,4.2,"Championship",2019,0,1
2019-01-26,"Aston Villa","Ipswich","H",2,1,1.5,4.4,7.5,"Championship",2019,0,1
2019-01-26,"Blackburn","Hull","H",3,0,2.45,3.5,3,"Championship",2019,0,1
2019-01-26,"Norwich","Sheffield United","D",2,2,2.45,3.5,3,"Championship",2019,0,1
2019-01-26,"Nott'm Forest","Wigan","H",3,1,2.1,3.4,4,"Championship",2019,0,1
2019-01-26,"Rotherham","Leeds","A",1,2,6.5,4.33,1.55,"Championship",2019,0,1
2019-01-25,"Hertha","Schalke 04","D",2,2,2.4,3.25,3,"Bundesliga",2019,0,1
2019-01-21,"Bolton","West Brom","A",0,2,5,3.7,1.8,"Championship",2019,0,1
2019-01-20,"Schalke 04","Wolfsburg","H",2,1,2.2,3.4,3.25,"Bundesliga",2019,0,1
2019-01-20,"Nurnberg","Hertha","A",1,3,3,3.5,2.25,"Bundesliga",2019,0,1
2019-01-20,"Fulham","Tottenham","A",1,2,5.75,3.8,1.7,"Premier League",2019,0,1
2019-01-20,"Huddersfield","Man City","A",0,3,26,10,1.12,"Premier League",2019,0,1
2019-01-19,"RB Leipzig","Dortmund","A",0,1,2.35,3.4,3,"Bundesliga",2019,0,1
2019-01-19,"Leverkusen","M'gladbach","A",0,1,1.85,3.8,4,"Bundesliga",2019,0,1
2019-01-19,"Stuttgart","Mainz","A",2,3,2.3,3.3,3.1,"Bundesliga",2019,0,1
2019-01-19,"Ein Frankfurt","Freiburg","H",3,1,1.5,4.5,6.5,"Bundesliga",2019,0,1
2019-01-19,"Augsburg","Fortuna Dusseldorf","A",1,2,2.05,3.5,3.5,"Bundesliga",2019,0,1
2019-01-19,"Hannover","Werder Bremen","A",0,1,3.5,3.75,2,"Bundesliga",2019,0,1
2019-01-19,"Swansea","Sheffield United","H",1,0,3,3.3,2.55,"Championship",2019,0,1
2019-01-19,"Nott'm Forest","Bristol City","A",0,1,2.45,3.3,3.2,"Championship",2019,0,1
2019-01-19,"Aston Villa","Hull","D",2,2,2.05,3.6,3.8,"Championship",2019,0,1
2019-01-19,"QPR","Preston","A",1,4,2.15,3.5,3.6,"Championship",2019,0,1
2019-01-19,"Blackburn","Ipswich","H",2,0,1.75,3.6,5.75,"Championship",2019,0,1
2019-01-19,"Rotherham","Brentford","A",2,4,4,3.6,2,"Championship",2019,0,1
2019-01-19,"Sheffield Weds","Wigan","H",1,0,2.55,3.3,3,"Championship",2019,0,1
2019-01-19,"Derby","Reading","H",2,1,1.72,3.8,5.5,"Championship",2019,0,1
2019-01-19,"Stoke","Leeds","H",2,1,3,3.4,2.5,"Championship",2019,0,1
2019-01-19,"Middlesbrough","Millwall","D",1,1,1.95,3.25,4.8,"Championship",2019,0,1
2019-01-19,"Arsenal","Chelsea","H",2,0,3.3,3.5,2.3,"Premier League",2019,0,1
2019-01-19,"Liverpool","Crystal Palace","H",4,3,1.22,7,15,"Premier League",2019,0,1
2019-01-19,"Man United","Brighton","H",2,1,1.36,5.5,9.5,"Premier League",2019,0,1
2019-01-19,"Norrkoping","Cardiff","H",3,0,2.05,3.25,4.33,"Premier League",2019,0,1
2019-01-19,"Southampton","Everton","H",2,1,2.87,3.4,2.6,"Premier League",2019,0,1
2019-01-19,"Bournemouth","West Ham","H",2,0,2.15,3.75,3.4,"Premier League",2019,0,1
2019-01-19,"Watford","Burnley","D",0,0,1.61,4.2,6,"Premier League",2019,0,1
2019-01-19,"Wolves","Leicester","H",4,3,2.35,3.2,3.5,"Premier League",2019,0,1
2019-01-18,"Hoffenheim","Bayern Munich","A",1,3,6.5,5,1.4,"Bundesliga",2019,0,1
2019-01-18,"Norwich","Birmingham","H",3,1,1.9,3.6,4.4,"Championship",2019,0,1
2019-01-14,"Man City","Wolves","H",3,0,1.16,8.5,19,"Premier League",2019,0,1
2019-01-13,"Tottenham","Man United","A",0,1,2.1,3.6,3.7,"Premier League",2019,0,1
2019-01-13,"Everton","Bournemouth","H",2,0,1.75,4,4.8,"Premier League",2019,0,1
2019-01-12,"Millwall","Blackburn","A",0,2,2.1,3.5,3.8,"Championship",2019,0,1
2019-01-12,"West Brom","Norwich","D",1,1,2.2,3.7,3.3,"Championship",2019,0,1
2019-01-12,"Ipswich","Rotherham","H",1,0,2.4,3.3,3.25,"Championship",2019,0,1
2019-01-12,"Wigan","Aston Villa","H",3,0,3,3.4,2.5,"Championship",2019,0,1
2019-01-12,"Birmingham","Middlesbrough","A",1,2,2.7,3,3.1,"Championship",2019,0,1
2019-01-12,"Preston","Swansea","D",1,1,2.6,3.4,2.87,"Championship",2019,0,1
2019-01-12,"Brentford","Stoke","H",3,1,2.5,3.3,3.1,"Championship",2019,0,1
2019-01-12,"Reading","Nott'm Forest","H",2,0,3,3.3,2.55,"Championship",2019,0,1
2019-01-12,"Bristol City","Bolton","H",2,1,1.61,3.9,6.5,"Championship",2019,0,1
2019-01-12,"Sheffield United","QPR","H",1,0,1.66,3.9,6,"Championship",2019,0,1
2019-01-12,"Hull","Sheffield Weds","H",3,0,2.15,3.4,3.7,"Championship",2019,0,1
2019-01-12,"Chelsea","Norrkoping","H",2,1,1.2,7,19,"Premier League",2019,0,1
2019-01-12,"Burnley","Fulham","H",2,1,2.5,3.3,3.1,"Premier League",2019,0,1
2019-01-12,"Cardiff","Huddersfield","D",0,0,2.15,3.25,3.9,"Premier League",2019,0,1
2019-01-12,"Crystal Palace","Watford","A",1,2,2.37,3.4,3.25,"Premier League",2019,0,1
2019-01-12,"Leicester","Southampton","A",1,2,1.9,3.5,4.6,"Premier League",2019,0,1
2019-01-12,"Brighton","Liverpool","A",0,1,9.5,5.25,1.36,"Premier League",2019,0,1
2019-01-12,"West Ham","Arsenal","H",1,0,3.5,4,2.05,"Premier League",2019,0,1
2019-01-11,"Leeds","Derby","H",2,0,1.95,3.7,4.2,"Championship",2019,0,1
2019-01-03,"Man City","Liverpool","H",2,1,1.95,3.9,3.9,"Premier League",2019,0,1
2019-01-02,"Bournemouth","Watford","D",3,3,2.65,3.7,2.65,"Premier League",2019,0,1
2019-01-02,"Norrkoping","Man United","A",0,2,6.25,4.33,1.57,"Premier League",2019,0,1
2019-01-02,"Huddersfield","Burnley","A",1,2,2.35,3.2,3.5,"Premier League",2019,0,1
2019-01-02,"West Ham","Brighton","D",2,2,2,3.6,4,"Premier League",2019,0,1
2019-01-02,"Chelsea","Southampton","D",0,0,1.3,6,11,"Premier League",2019,0,1
2019-01-02,"Wolves","Crystal Palace","A",0,2,2.25,3.2,3.7,"Premier League",2019,0,1
2019-01-01,"Sheffield Weds","Birmingham","D",1,1,3,3.2,2.62,"Championship",2019,0,1
2019-01-01,"Derby","Middlesbrough","D",1,1,2.3,3.3,3.5,"Championship",2019,0,1
2019-01-01,"Stoke","Bristol City","A",0,2,2.3,3.1,3.75,"Championship",2019,0,1
2019-01-01,"Hull","Bolton","H",6,0,1.83,3.4,5.5,"Championship",2019,0,1
2019-01-01,"Wigan","Sheffield United","A",0,3,3.75,3.4,2.14,"Championship",2019,0,1
2019-01-01,"Ipswich","Millwall","A",2,3,3.5,3.2,2.35,"Championship",2019,0,1
2019-01-01,"Nott'm Forest","Leeds","H",4,2,3.2,3.4,2.37,"Championship",2019,0,1
2019-01-01,"Aston Villa","QPR","D",2,2,1.9,3.75,4.33,"Championship",2019,0,1
2019-01-01,"Reading","Swansea","A",1,4,3.25,3.4,2.35,"Championship",2019,0,1
2019-01-01,"Blackburn","West Brom","H",2,1,3.1,3.6,2.35,"Championship",2019,0,1
2019-01-01,"Rotherham","Preston","H",2,1,3,3.4,2.5,"Championship",2019,0,1
2019-01-01,"Brentford","Norwich","D",1,1,2.7,3.4,2.75,"Championship",2019,0,1
2019-01-01,"Cardiff","Tottenham","A",0,3,9,5,1.4,"Premier League",2019,0,1
2019-01-01,"Arsenal","Fulham","H",4,1,1.36,5.5,9,"Premier League",2019,0,1
2019-01-01,"Everton","Leicester","A",0,1,2,3.6,4,"Premier League",2019,0,1
2018-12-30,"Man United","Bournemouth","H",4,1,1.4,5.25,8,"Premier League",2019,0,1
2018-12-30,"Southampton","Man City","A",1,3,13,7.5,1.22,"Premier League",2019,0,1
2018-12-30,"Burnley","West Ham","H",2,0,3.9,3.5,2.04,"Premier League",2019,0,1
2018-12-30,"Crystal Palace","Chelsea","A",0,1,5.25,3.8,1.75,"Premier League",2019,0,1
2018-12-29,"Bristol City","Rotherham","H",1,0,1.61,4,6.5,"Championship",2019,0,1
2018-12-29,"Sheffield United","Blackburn","H",3,0,1.61,4.2,6,"Championship",2019,0,1
2018-12-29,"Leeds","Hull","A",0,2,1.5,4.5,7.5,"Championship",2019,0,1
2018-12-29,"Swansea","Wigan","D",2,2,1.9,3.6,4.5,"Championship",2019,0,1
2018-12-29,"Middlesbrough","Ipswich","H",2,0,1.53,3.9,8.5,"Championship",2019,0,1
2018-12-29,"West Brom","Sheffield Weds","D",1,1,1.61,4,6.5,"Championship",2019,0,1
2018-12-29,"Millwall","Nott'm Forest","H",1,0,2.75,3.3,2.8,"Championship",2019,0,1
2018-12-29,"Norwich","Derby","A",3,4,2.04,3.6,3.8,"Championship",2019,0,1
2018-12-29,"Birmingham","Brentford","D",0,0,2.3,3.6,3.25,"Championship",2019,0,1
2018-12-29,"Preston","Aston Villa","D",1,1,3,3.4,2.5,"Championship",2019,0,1
2018-12-29,"Bolton","Stoke","D",0,0,4.75,3.4,1.9,"Championship",2019,0,1
2018-12-29,"QPR","Reading","D",0,0,1.72,3.8,5.5,"Championship",2019,0,1
2018-12-29,"Liverpool","Arsenal","H",5,1,1.4,5.5,7.5,"Premier League",2019,0,1
2018-12-29,"Leicester","Cardiff","A",0,1,1.53,4,8,"Premier League",2019,0,1
2018-12-29,"Brighton","Everton","H",1,0,3.4,3.25,2.35,"Premier League",2019,0,1
2018-12-29,"Tottenham","Wolves","A",1,3,1.5,4.5,7.5,"Premier League",2019,0,1
2018-12-29,"Watford","Norrkoping","D",1,1,1.7,4,5.5,"Premier League",2019,0,1
2018-12-29,"Fulham","Huddersfield","H",1,0,2.04,3.3,4.33,"Premier League",2019,0,1
2018-12-27,"Southampton","West Ham","A",1,2,2.35,3.4,3.25,"Premier League",2019,0,1
2018-12-26,"Sheffield United","Derby","H",3,1,2.1,3.6,3.75,"Championship",2019,0,1
2018-12-26,"Leeds","Blackburn","H",3,2,1.6,4,6.5,"Championship",2019,0,1
2018-12-26,"Swansea","Aston Villa","A",0,1,2.5,3.5,2.95,"Championship",2019,0,1
2018-12-26,"Middlesbrough","Sheffield Weds","A",0,1,1.7,3.6,6.5,"Championship",2019,0,1
2018-12-26,"Millwall","Reading","H",1,0,1.8,3.9,4.75,"Championship",2019,0,1
2018-12-26,"West Brom","Wigan","H",2,0,1.6,4.2,6,"Championship",2019,0,1
2018-12-26,"Norwich","Nott'm Forest","D",3,3,1.9,3.7,4.33,"Championship",2019,0,1
2018-12-26,"Birmingham","Stoke","H",2,0,2.87,3.1,2.8,"Championship",2019,0,1
2018-12-26,"Preston","Hull","A",1,2,2.25,3.3,3.6,"Championship",2019,0,1
2018-12-26,"Bolton","Rotherham","H",2,1,2.54,3.2,3.1,"Championship",2019,0,1
2018-12-26,"QPR","Ipswich","H",3,0,1.72,3.7,5.75,"Championship",2019,0,1
2018-12-26,"Bristol City","Brentford","D",1,1,2.4,3.5,3.1,"Championship",2019,0,1
2018-12-26,"Watford","Chelsea","A",1,2,5.6,4,1.66,"Premier League",2019,0,1
2018-12-26,"Brighton","Arsenal","D",1,1,5.5,3.9,1.7,"Premier League",2019,0,1
2018-12-26,"Burnley","Everton","A",1,5,4.75,3.6,1.85,"Premier League",2019,0,1
2018-12-26,"Tottenham","Bournemouth","H",5,0,1.35,5.5,9.5,"Premier League",2019,0,1
2018-12-26,"Crystal Palace","Cardiff","D",0,0,1.64,3.8,6.5,"Premier League",2019,0,1
2018-12-26,"Leicester","Man City","H",2,1,10.5,5.5,1.33,"Premier League",2019,0,1
2018-12-26,"Liverpool","Norrkoping","H",4,0,1.18,8,17,"Premier League",2019,0,1
2018-12-26,"Man United","Huddersfield","H",3,1,1.3,5.75,12,"Premier League",2019,0,1
2018-12-26,"Fulham","Wolves","D",1,1,3,3.25,2.62,"Premier League",2019,0,1
2018-12-23,"Hoffenheim","Mainz","D",1,1,1.61,4.2,5.25,"Bundesliga",2019,0,1
2018-12-23,"Augsburg","Wolfsburg","A",2,3,2.6,3.3,2.75,"Bundesliga",2019,0,1
2018-12-23,"Aston Villa","Leeds","A",2,3,2.62,3.5,2.8,"Championship",2019,0,1
2018-12-23,"Everton","Tottenham","A",2,6,3.4,3.6,2.2,"Premier League",2019,0,1
2018-12-22,"Ein Frankfurt","Bayern Munich","A",0,3,6,4.75,1.44,"Bundesliga",2019,0,1
2018-12-22,"Hannover","Fortuna Dusseldorf","A",0,1,2.37,3.4,2.9,"Bundesliga",2019,0,1
2018-12-22,"Nurnberg","Freiburg","A",0,1,3,3.3,2.4,"Bundesliga",2019,0,1
2018-12-22,"Leverkusen","Hertha","H",3,1,1.64,4.1,5,"Bundesliga",2019,0,1
